Episode,Steps,Reward
623,191,13.28892456
624,172,13.29647436
625,107,13.288
626,163,13.29233227
627,196,13.3030303
628,121,13.2977707
629,190,13.31955485
630,179,13.32857143
631,158,13.33438986
632,161,13.34177215
633,152,13.34597156
634,155,13.34542587
635,134,13.34173228
636,211,13.35377358
637,209,13.37205651
638,185,13.39184953
639,198,13.41627543
640,197,13.440625
641,196,13.45709828
642,194,13.46105919
643,167,13.47278383
644,163,13.47981366
645,160,13.47906977
646,156,13.48452012
647,187,13.49459042
648,176,13.50617284
649,192,13.52696456
650,163,13.53230769
651,174,13.53456221
652,181,13.55521472
653,133,13.55130168
654,184,13.57186544
655,154,13.57557252
656,161,13.57469512
657,161,13.57838661
658,135,13.57902736
659,165,13.59028832
660,182,13.6030303
661,175,13.6096823
662,183,13.62839879
663,182,13.63650075
664,177,13.65512048
665,195,13.66616541
666,203,13.68318318
667,137,13.67916042
668,148,13.68562874
669,148,13.68759342
670,166,13.69402985
671,179,13.70193741
672,155,13.70684524
673,119,13.69836553
674,136,13.69436202
675,188,13.6962963
676,170,13.70710059
677,187,13.7282127
678,199,13.75073746
679,144,13.75257732
680,180,13.76029412
681,174,13.76211454
682,108,13.75219941
683,129,13.74670571
684,167,13.74561404
685,154,13.75474453
686,136,13.75072886
687,178,13.75254731
688,175,13.75290698
689,147,13.75616836
690,168,13.75652174
691,155,13.75397974
692,164,13.75289017
693,193,13.76623377
694,200,13.78818444
695,177,13.78848921
696,172,13.79454023
697,196,13.81635581
698,149,13.81375358
699,187,13.82260372
700,134,13.81714286
701,195,13.82738944
702,159,13.82621083
703,198,13.82930299
704,173,13.84659091
705,159,13.85106383
706,156,13.84985836
707,180,13.85148515
708,177,13.86864407
709,182,13.87588152
710,150,13.87323944
711,157,13.87060478
712,148,13.86797753
713,132,13.86816269
714,191,13.88655462
715,137,13.88251748
716,202,13.89385475
717,161,13.90237099
718,123,13.89554318
719,137,13.89151599
720,164,13.90694444
721,153,13.90429958
722,150,13.91135734
723,194,13.92116183
724,182,13.9281768
725,148,13.93103448
726,158,13.93526171
727,127,13.92984869
728,169,13.94642857
729,184,13.95473251
730,166,13.97123288
731,185,13.97264022
732,178,13.9795082
733,139,13.97544338
734,115,13.96866485
735,147,13.97006803
736,133,13.96467391
737,198,13.98507463
738,174,13.99051491
739,166,14.00541272
740,167,14.00405405
741,188,14.0148448
742,145,14.01212938
743,164,14.02153432
744,175,14.02284946
745,188,14.0295302
746,166,14.03485255
747,180,14.04016064
748,172,14.05614973
749,189,14.06408545
750,160,14.07866667
751,182,14.09587217
752,180,14.11303191
753,176,14.12350598
754,181,14.13925729
755,199,14.14834437
756,168,14.16402116
757,176,14.17965654
758,188,14.18865435
759,148,14.19499341
760,161,14.19868421
761,180,14.21419185
762,178,14.2191601
763,202,14.23722149
764,166,14.2513089
765,175,14.26666667
766,184,14.28198433
767,142,14.27770535
768,148,14.27473958
769,169,14.27828349
770,167,14.27792208
771,211,14.29182879
772,180,14.30829016
773,168,14.32341527
774,177,14.33074935
775,166,14.33548387
776,202,14.3492268
777,130,14.34749035
778,120,14.34575835
779,192,14.35430039
780,147,14.36025641
781,138,14.36107554
782,168,14.3657289
783,187,14.38186462
784,185,14.39795918
785,194,14.40636943
786,185,14.42239186
787,199,14.44091487
788,200,14.45431472
