Episode,Steps,Reward
228,167,5.495614035
229,203,5.524017467
230,190,5.582608696
231,261,5.640692641
232,191,5.693965517
233,158,5.721030043
234,232,5.752136752
235,147,5.757446809
236,114,5.75
237,201,5.784810127
238,159,5.81512605
239,216,5.845188285
240,205,5.883333333
241,214,5.933609959
242,196,5.966942149
243,215,5.991769547
244,206,6.032786885
245,173,6.069387755
246,239,6.097560976
247,183,6.137651822
248,135,6.14516129
249,152,6.16064257
250,213,6.204
251,156,6.231075697
252,163,6.265873016
253,174,6.288537549
254,217,6.31496063
255,169,6.341176471
256,220,6.390625
257,241,6.435797665
258,129,6.453488372
259,174,6.459459459
260,157,6.492307692
261,240,6.528735632
262,172,6.557251908
263,180,6.566539924
264,175,6.575757576
265,226,6.611320755
266,153,6.631578947
267,180,6.655430712
268,234,6.682835821
269,158,6.695167286
270,179,6.711111111
271,178,6.730627306
272,229,6.753676471
273,213,6.813186813
274,157,6.824817518
275,272,6.865454545
276,257,6.891304348
277,239,6.913357401
278,187,6.95323741
279,360,6.989247312
280,140,6.992857143
281,182,7.021352313
282,167,7.053191489
283,186,7.074204947
284,231,7.126760563
285,192,7.140350877
286,228,7.160839161
287,155,7.181184669
288,123,7.180555556
289,172,7.200692042
290,213,7.25862069
291,125,7.264604811
292,195,7.301369863
293,142,7.310580205
294,166,7.350340136
295,232,7.376271186
296,180,7.391891892
297,131,7.400673401
298,177,7.419463087
299,184,7.481605351
300,174,7.513333333
301,192,7.558139535
302,156,7.579470199
303,160,7.587458746
304,199,7.625
305,155,7.636065574
306,132,7.633986928
307,201,7.700325733
308,216,7.753246753
309,167,7.770226537
310,135,7.783870968
311,199,7.823151125
312,170,7.852564103
313,174,7.884984026
314,179,7.917197452
315,167,7.942857143
316,157,7.958860759
317,189,7.977917981
318,179,8
319,171,8.021943574
320,178,8.05
321,187,8.105919003
322,182,8.124223602
323,145,8.13003096
324,183,8.169753086
