Steps,Episode number,Episode reward,Episode reward irl,Episode reward combined
872,306,50.94444444,50.94444444,50.94444444
1029,307,51.00651466,51.00651466,51.00651466
793,308,50.92532468,50.92532468,50.92532468
626,309,50.89320388,50.89320388,50.89320388
760,310,50.82903226,50.82903226,50.82903226
1408,311,51.12540193,51.12540193,51.12540193
1190,312,51.25961538,51.25961538,51.25961538
578,313,51.20447284,51.20447284,51.20447284
1331,314,51.72611465,51.72611465,51.72611465
1357,315,52.50793651,52.50793651,52.50793651
1012,316,52.56962025,52.56962025,52.56962025
1173,317,52.69716088,52.69716088,52.69716088
1426,318,53.55974843,53.55974843,53.55974843
1375,319,54.02194357,54.02194357,54.02194357
640,320,53.93125,53.93125,53.93125
1410,321,54.50778816,54.50778816,54.50778816
1263,322,54.6242236,54.6242236,54.6242236
880,323,54.68111455,54.68111455,54.68111455
1108,324,55.16975309,55.16975309,55.16975309
1246,325,55.43384615,55.43384615,55.43384615
1348,326,56.17484663,56.17484663,56.17484663
1151,327,56.26605505,56.26605505,56.26605505
1533,328,57.08841463,57.08841463,57.08841463
1467,329,57.80547112,57.80547112,57.80547112
1072,330,58.45757576,58.45757576,58.45757576
1205,331,58.54984894,58.54984894,58.54984894
984,332,58.48192771,58.48192771,58.48192771
576,333,58.39339339,58.39339339,58.39339339
965,334,58.38023952,58.38023952,58.38023952
780,335,58.37910448,58.37910448,58.37910448
1066,336,58.38988095,58.38988095,58.38988095
1315,337,58.59643917,58.59643917,58.59643917
1187,338,59.03846154,59.03846154,59.03846154
1278,339,59.18289086,59.18289086,59.18289086
1522,340,59.87058824,59.87058824,59.87058824
1315,341,60.56304985,60.56304985,60.56304985
1343,342,61.00877193,61.00877193,61.00877193
1171,343,61.12827988,61.12827988,61.12827988
1588,344,61.98837209,61.98837209,61.98837209
1619,345,62.91594203,62.91594203,62.91594203
1378,346,63.57514451,63.57514451,63.57514451
1158,347,63.7204611,63.7204611,63.7204611
1720,348,64.64655172,64.64655172,64.64655172
597,349,64.5243553,64.5243553,64.5243553
1493,350,65.19428571,65.19428571,65.19428571
1013,351,65.1994302,65.1994302,65.1994302
1640,352,66.05681818,66.05681818,66.05681818
1104,353,66.15580737,66.15580737,66.15580737
1059,354,66.14689266,66.14689266,66.14689266
1088,355,66.52394366,66.52394366,66.52394366
1204,356,67.04494382,67.04494382,67.04494382
1129,357,67.38095238,67.38095238,67.38095238
1434,358,68.14804469,68.14804469,68.14804469
1386,359,68.63231198,68.63231198,68.63231198
921,360,68.56111111,68.56111111,68.56111111
939,361,68.56786704,68.56786704,68.56786704
1419,362,69.07734807,69.07734807,69.07734807
878,363,68.98347107,68.98347107,68.98347107
759,364,68.8543956,68.8543956,68.8543956
1490,365,69.53150685,69.53150685,69.53150685
1392,366,69.75136612,69.75136612,69.75136612
1442,367,70.36784741,70.36784741,70.36784741
1224,368,70.33695652,70.33695652,70.33695652
1757,369,71.20054201,71.20054201,71.20054201
1437,370,71.67027027,71.67027027,71.67027027
1192,371,71.76549865,71.76549865,71.76549865
1017,372,71.70430108,71.70430108,71.70430108
835,373,71.61394102,71.61394102,71.61394102
514,374,71.45454545,71.45454545,71.45454545
1327,375,71.71733333,71.71733333,71.71733333
1186,376,71.81117021,71.81117021,71.81117021
1184,377,71.85411141,71.85411141,71.85411141
988,378,71.7989418,71.7989418,71.7989418
1052,379,72.2585752,72.2585752,72.2585752
1253,380,72.72894737,72.72894737,72.72894737
1225,381,73.2152231,73.2152231,73.2152231
1141,382,73.26963351,73.26963351,73.26963351
1075,383,73.31853786,73.31853786,73.31853786
1758,384,73.99739583,73.99739583,73.99739583
736,385,73.86233766,73.86233766,73.86233766
573,386,73.73056995,73.73056995,73.73056995
450,387,73.57881137,73.57881137,73.57881137
983,388,73.47938144,73.47938144,73.47938144
904,389,73.3933162,73.3933162,73.3933162
609,390,73.24871795,73.24871795,73.24871795
1111,391,73.70332481,73.70332481,73.70332481
917,392,73.61734694,73.61734694,73.61734694
739,393,73.49363868,73.49363868,73.49363868
671,394,73.38071066,73.38071066,73.38071066
448,395,73.22531646,73.22531646,73.22531646
470,396,73.09090909,73.09090909,73.09090909
