Episode,Steps,Reward
515,1352,119.3708738
516,4358,119.6356589
517,969,119.5435203
518,1258,119.8281853
519,1312,119.9903661
520,1589,120.0461538
521,791,119.8694818
522,1316,119.9904215
523,1360,120.1510516
524,1311,120.3625954
525,1268,120.4190476
526,1347,120.6920152
527,1301,120.7248577
528,1267,120.8314394
529,1363,120.9773157
530,1117,120.9566038
531,1453,121.259887
532,1384,121.6146617
533,1415,121.9549719
534,1089,122.1835206
535,1149,122.2018692
536,864,122.0522388
537,953,121.9050279
538,890,121.7546468
539,943,121.5974026
540,982,121.487037
541,582,121.297597
542,979,121.1715867
543,1056,121.053407
544,947,120.9503676
545,1501,121.3541284
546,1053,121.2802198
547,1482,121.4113346
548,1155,121.4178832
549,1211,121.4408015
550,1056,121.3818182
551,693,121.2431942
552,891,121.0815217
553,1465,121.3652803
554,1339,121.4476534
555,1294,121.4954955
556,1385,121.7410072
557,1500,121.9856373
558,1382,122.2258065
559,502,122.0465116
560,1344,122.1910714
561,844,122.0285205
562,1160,121.9519573
563,1219,122.1492007
564,1079,122.0957447
565,692,121.9292035
566,1101,121.8568905
567,1273,121.8712522
568,1297,122.2922535
569,1033,122.2267135
570,967,122.1175439
571,1163,122.0630473
572,733,121.9055944
573,588,121.7277487
574,652,121.5662021
575,1131,121.5026087
576,1277,121.5503472
577,1271,121.7556326
578,1163,121.7612457
579,1377,122.0017271
580,1415,122.2568966
581,851,122.1049914
582,1186,122.0635739
583,1024,121.941681
584,993,121.8099315
585,1073,121.6974359
586,1005,121.5716724
587,1439,121.8756388
588,1136,121.8537415
589,1237,121.8302207
590,818,121.7016949
591,1133,121.7563452
592,1619,122.0439189
593,798,121.8971332
594,1196,122.0993266
595,1744,122.502521
596,1437,122.9010067
597,798,122.7571189
598,1274,122.9046823
599,1274,123.0217028
600,922,122.9033333
601,1236,122.875208
602,1319,123.2541528
603,1111,123.2338308
604,809,123.0761589
605,1307,123.0743802
606,1150,123.0066007
607,1231,122.9901153
608,1435,123.2203947
609,1143,123.2118227
610,1115,123.1491803
